id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
30609,AAXX,small_airport,Aeródromo de Punto Rothera,-67.566941,-68.126993,,AN,AQ,AQ-U-A,Rothera Point,no,,,AAXX,,,,
301649,AGAF,small_airport,Afutara Aerodrome,-9.191389,160.948611,23,OC,SB,SB-ML,Bila,no,AGAF,AFT,AGAF,,,https://en.wikipedia.org/wiki/Afutara_Airport,
302290,AGAR,small_airport,Ulawa Airport,-9.86054358262,161.979546547,40,OC,SB,SB-MK,Arona,no,AGAR,RNA,AGAR,,,https://en.wikipedia.org/wiki/Ulawa_Airport,
35172,AGAT,small_airport,Uru Harbour Airport,-8.87333,161.011002,,OC,SB,SB-ML,Atoifi,no,AGAT,ATD,AGAT,,,https://en.wikipedia.org/wiki/Uru_Harbour_Airport,
32570,AGBA,small_airport,Barakoma Airport,-7.912779808044434,156.70599365234375,,OC,SB,SB-WE,Barakoma,no,AGBA,VEV,AGBA,,,,
302402,AGBT,small_airport,Batuna Aerodrome,-8.56202777778,158.119305556,24,OC,SB,SB-WE,Batuna Mission Station,no,AGBT,BPF,AGBT,,,,
31524,AGEV,small_airport,Geva Airport,-7.575829982757568,156.5970001220703,,OC,SB,SB-WE,Liangia,no,AGEV,GEF,AGEV,,,,
30634,AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,OC,SB,SB-ML,Auki,yes,AGGA,AKS,AGGA,,,https://en.wikipedia.org/wiki/Auki_Airport,
302047,AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,60,OC,SB,SB-RB,Anua,yes,AGGB,BNY,AGGB,,,https://en.wikipedia.org/wiki/Bellona/Anua_Airport,
302291,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,Choiseul Bay,yes,AGGC,CHY,AGGC,,,https://en.wikipedia.org/wiki/Choiseul_Bay_Airport,
30678,AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS,AGGE,,,https://en.wikipedia.org/wiki/Balalae_Airport,
35167,AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,9,OC,SB,SB-IS,Fera Island,yes,AGGF,FRE,AGGF,,,https://en.wikipedia.org/wiki/Fera_Airport,Santa Isabel Islands
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,AGGH,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
31885,AGGI,small_airport,Babanakira Airport,-9.7475,159.839005,,OC,SB,SB-GU,Mbambanakira,no,AGGI,MBU,AGGI,,,https://en.wikipedia.org/wiki/Mbambanakira_Airport,Mbambanakira Airport
301837,AGGJ,small_airport,Avu Avu Airport,-9.868333,160.410556,25,OC,SB,SB-GU,Avu Avu,no,AGGJ,AVU,AGGJ,,,,
31686,AGGK,small_airport,Ngorangora Airport,-10.449700355500001,161.897994995,54,OC,SB,SB-MK,Kirakira,yes,AGGK,IRA,AGGK,,,https://en.wikipedia.org/wiki/Kirakira_Airport,
32275,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,yes,AGGL,SCZ,AGGL,,,https://en.wikipedia.org/wiki/Luova_Airport,
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA,AGGM,,,https://en.wikipedia.org/wiki/Munda_Airport,
31563,AGGN,small_airport,Nusatupe Airport,-8.09778022766,156.863998413,13,OC,SB,SB-WE,Gizo,yes,AGGN,GZO,AGGN,,,https://en.wikipedia.org/wiki/Nusatupe_Airport,
31932,AGGO,small_airport,Mono Airport,-7.41694,155.565002,35,OC,SB,SB-WE,Stirling Island,yes,AGGO,MNY,AGGO,,,https://en.wikipedia.org/wiki/Mono_Airport,
32174,AGGP,small_airport,Parasi Airport,-9.641670227050781,161.4250030517578,,OC,SB,SB-ML,Parasi,no,AGGP,PRS,AGGP,,,,
35171,AGGR,small_airport,Rennell/Tingoa Airport,-11.55,160.062778,550,OC,SB,SB-RB,Rennell Island,yes,AGGR,RNL,AGGR,,,https://en.wikipedia.org/wiki/Tingoa_Airport,
30989,AGGS,small_airport,Sege Airport,-8.57889,157.876007,,OC,SB,SB-WE,Sege,no,AGGS,EGM,AGGS,,,https://en.wikipedia.org/wiki/Seghe_Airport,
308425,AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,OC,SB,SB-MK,Santa Ana Island,yes,AGGT,NNB,AGGT,,,https://en.wikipedia.org/wiki/Santa_Ana_Airport_(Solomon_Islands),
32238,AGGU,small_airport,Marau Airport,-9.86167,160.824997,3,OC,SB,SB-GU,Marau,yes,AGGU,RUS,AGGU,,,https://en.wikipedia.org/wiki/Marau_Airport,
32564,AGGV,small_airport,Suavanao Airport,-7.58556,158.731003,20,OC,SB,SB-IS,Suavanao,yes,AGGV,VAO,AGGV,,,https://en.wikipedia.org/wiki/Suavanao_Airport,
302292,AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,OC,SB,SB-CE,Yandina,yes,AGGY,XYA,AGGY,,,https://en.wikipedia.org/wiki/Yandina_Airport,
594690,AGIN,heliport,Isuna Heliport,-9.805809,159.962722,26,OC,SB,SB-GU,Veravaulo,no,AGIN,,AGIN,,,,
35169,AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,OC,SB,SB-CH,Kagau Island,yes,AGKG,KGE,AGKG,,,https://en.wikipedia.org/wiki/Kaghau_Airport,Kagau Island
310179,AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,32,OC,SB,SB-WE,Kolombangara Island,no,AGKU,KUE,AGKU,,,,Kukundu
308424,AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,52,OC,SB,SB-ML,Kwailabesi,no,AGKW,KWS,AGKW,,,,
524977,AGLM,small_airport,Lomlom Airport,-10.296828,166.327322,55,OC,SB,SB-TE,Lomlom,no,AGLM,LLM,AGLM,,,https://en.wikipedia.org/wiki/Lomlom_Airport,Ngawa Island
310002,AGNA,small_airport,Nana Airport,-10.6758,162.2049,60,OC,SB,SB-MK,Star Harbor,no,AGNA,NAZ,AGNA,,,,
508090,AGOB,small_airport,Manaoba Airport,-8.325008,160.80051,14,OC,SB,SB-ML,Manaoba,yes,AGOB,MHM,AGOB,,,,
